dataset_group,case,n,algorithm,time_ms
fineGrained,best,8000,SelectionSort,186.0000
fineGrained,best,8000,InsertionSort,0.0000
fineGrained,best,8000,MergeSort,2.0000
fineGrained,best,8000,QuickSort,1.0000
fineGrained,best,8000,HeapSort,1.0000
fineGrained,best,9000,BubbleSort,72.0000
fineGrained,best,9000,SelectionSort,231.0000
fineGrained,best,9000,InsertionSort,0.0000
fineGrained,best,9000,MergeSort,2.0000
fineGrained,best,9000,QuickSort,0.0000
fineGrained,best,9000,HeapSort,1.0000
fineGrained,best,10000,BubbleSort,81.0000
fineGrained,best,10000,SelectionSort,283.0000
fineGrained,best,10000,InsertionSort,0.0000
fineGrained,best,10000,MergeSort,3.0000
fineGrained,best,10000,QuickSort,1.0000
fineGrained,best,10000,HeapSort,1.0000
fineGrained,average,1000,BubbleSort,4.8000
fineGrained,average,1000,SelectionSort,3.0000
fineGrained,average,1000,InsertionSort,0.2000
fineGrained,average,1000,MergeSort,0.4000
fineGrained,average,1000,QuickSort,0.2000
fineGrained,average,1000,HeapSort,0.2000
fineGrained,average,2000,BubbleSort,18.0000
fineGrained,average,2000,SelectionSort,12.2000
fineGrained,average,2000,InsertionSort,0.8000
fineGrained,average,2000,MergeSort,0.6000
fineGrained,average,2000,QuickSort,0.0000
fineGrained,average,2000,HeapSort,0.2000
fineGrained,average,3000,BubbleSort,36.6000
fineGrained,average,3000,SelectionSort,26.2000
fineGrained,average,3000,InsertionSort,1.8000
fineGrained,average,3000,MergeSort,1.2000
fineGrained,average,3000,QuickSort,0.6000
fineGrained,average,3000,HeapSort,0.2000
fineGrained,average,4000,BubbleSort,62.4000
fineGrained,average,4000,SelectionSort,45.6000
fineGrained,average,4000,InsertionSort,4.2000
fineGrained,average,4000,MergeSort,1.4000
fineGrained,average,4000,QuickSort,0.6000
fineGrained,average,4000,HeapSort,0.6000
fineGrained,average,5000,BubbleSort,106.2000
fineGrained,average,5000,SelectionSort,69.4000
fineGrained,average,5000,InsertionSort,3.8000
fineGrained,average,5000,MergeSort,1.4000
fineGrained,average,5000,QuickSort,0.4000
fineGrained,average,5000,HeapSort,0.4000
fineGrained,average,6000,BubbleSort,140.4000
fineGrained,average,6000,SelectionSort,101.4000
fineGrained,average,6000,InsertionSort,6.6000
fineGrained,average,6000,MergeSort,2.2000
fineGrained,average,6000,QuickSort,1.0000
fineGrained,average,6000,HeapSort,1.0000
fineGrained,average,7000,BubbleSort,205.6000
fineGrained,average,7000,SelectionSort,145.4000
fineGrained,average,7000,InsertionSort,10.8000
fineGrained,average,7000,MergeSort,2.8000
fineGrained,average,7000,QuickSort,1.2000
fineGrained,average,7000,HeapSort,1.0000
fineGrained,average,8000,BubbleSort,320.6000
fineGrained,average,8000,SelectionSort,196.6000
fineGrained,average,8000,InsertionSort,14.2000
fineGrained,average,8000,MergeSort,3.2000
fineGrained,average,8000,QuickSort,1.4000
fineGrained,average,8000,HeapSort,1.2000
fineGrained,average,9000,BubbleSort,358.4000
fineGrained,average,9000,SelectionSort,233.4000
fineGrained,average,9000,InsertionSort,16.4000
fineGrained,average,9000,MergeSort,3.8000
fineGrained,average,9000,QuickSort,1.6000
fineGrained,average,9000,HeapSort,1.0000
fineGrained,average,10000,BubbleSort,461.6000
fineGrained,average,10000,SelectionSort,291.4000
fineGrained,average,10000,InsertionSort,20.4000
fineGrained,average,10000,MergeSort,3.2000
fineGrained,average,10000,QuickSort,2.2000
fineGrained,average,10000,HeapSort,1.0000
fineGrained,worst,1000,BubbleSort,9.0000
fineGrained,worst,1000,SelectionSort,4.0000
fineGrained,worst,1000,InsertionSort,1.0000
fineGrained,worst,1000,MergeSort,0.0000
fineGrained,worst,1000,QuickSort,0.0000
fineGrained,worst,1000,HeapSort,0.0000
fineGrained,worst,2000,BubbleSort,34.0000
fineGrained,worst,2000,SelectionSort,12.0000
fineGrained,worst,2000,InsertionSort,2.0000
fineGrained,worst,2000,MergeSort,1.0000
fineGrained,worst,2000,QuickSort,0.0000
fineGrained,worst,2000,HeapSort,0.0000
fineGrained,worst,3000,BubbleSort,72.0000
fineGrained,worst,3000,SelectionSort,27.0000
fineGrained,worst,3000,InsertionSort,4.0000
fineGrained,worst,3000,MergeSort,1.0000
fineGrained,worst,3000,QuickSort,0.0000
fineGrained,worst,3000,HeapSort,0.0000
fineGrained,worst,4000,BubbleSort,125.0000
fineGrained,worst,4000,SelectionSort,48.0000
fineGrained,worst,4000,InsertionSort,7.0000
fineGrained,worst,4000,MergeSort,1.0000
fineGrained,worst,4000,QuickSort,1.0000
fineGrained,worst,4000,HeapSort,1.0000
fineGrained,worst,5000,BubbleSort,196.0000
fineGrained,worst,5000,SelectionSort,73.0000
fineGrained,worst,5000,InsertionSort,11.0000
fineGrained,worst,5000,MergeSort,2.0000
fineGrained,worst,5000,QuickSort,0.0000
fineGrained,worst,5000,HeapSort,0.0000
fineGrained,worst,6000,BubbleSort,283.0000
fineGrained,worst,6000,SelectionSort,105.0000
fineGrained,worst,6000,InsertionSort,15.0000
fineGrained,worst,6000,MergeSort,2.0000
fineGrained,worst,6000,QuickSort,1.0000
fineGrained,worst,6000,HeapSort,0.0000
fineGrained,worst,7000,BubbleSort,379.0000
fineGrained,worst,7000,SelectionSort,153.0000
fineGrained,worst,7000,InsertionSort,23.0000
fineGrained,worst,7000,MergeSort,1.0000
fineGrained,worst,7000,QuickSort,1.0000
fineGrained,worst,7000,HeapSort,1.0000
fineGrained,worst,8000,BubbleSort,490.0000
fineGrained,worst,8000,SelectionSort,187.0000
fineGrained,worst,8000,InsertionSort,26.0000
fineGrained,worst,8000,MergeSort,2.0000
fineGrained,worst,8000,QuickSort,1.0000
fineGrained,worst,8000,HeapSort,1.0000
fineGrained,worst,9000,BubbleSort,642.0000
fineGrained,worst,9000,SelectionSort,239.0000
fineGrained,worst,9000,InsertionSort,34.0000
fineGrained,worst,9000,MergeSort,2.0000
fineGrained,worst,9000,QuickSort,1.0000
fineGrained,worst,9000,HeapSort,1.0000
fineGrained,worst,10000,BubbleSort,758.0000
fineGrained,worst,10000,SelectionSort,293.0000
fineGrained,worst,10000,InsertionSort,42.0000
fineGrained,worst,10000,MergeSort,3.0000
fineGrained,worst,10000,QuickSort,1.0000
fineGrained,worst,10000,HeapSort,1.0000
